id,name,country
367,Ingolsheim,FR
372,Hertzing,FR
373,Bébing,FR
376,Drouilly,FR
377,Aiguillon,FR
378,St-Martin-aux-Champs,FR
379,Bouilly,FR
380,Chamoy,FR
381,Jeugny,FR
382,Montigny-les-Monts,FR
383,St-Germain Mairie,FR
384,St-Jean-de-Bonneval,FR
385,St-Phal Monument aux morts,FR
386,Villery,FR
387,Neuvy-Sautour RN,FR
388,Brienon Mairie,FR
389,St-Lyé,FR
390,Payns,FR
391,Savières,FR
392,St-Mesmin,FR
393,Vallant-St-Georges,FR
394,Châtres,FR
395,Maizières-La Grande-Paroisse,FR
396,Romilly-sur-Seine,FR
399,Marnay-sur-Seine,FR
400,Nogent-sur-Seine,FR
401,Aigueperse,FR
402,Vendeuvre,FR
403,Bar-sur-Aube,FR
404,St-Florentin Hôtel de Ville,FR
405,Laroche-Migennes Hôtel Terminus,FR
406,Foug,FR
407,Fontenoy-sur-Moselle,FR
408,Liverdun,FR
409,Champigneulles,FR
410,Laneuveville-devant-Nancy,FR
411,Argèles-Gazost,FR
412,Arches,FR
413,Varangéville—St-Nicolas,FR
414,Dombasle-sur-Meurthe,FR
415,Rosières-aux-Salines,FR
416,Argelès-sur-Mer,FR
417,Marainviller,FR
419,Embermenil,FR
421,Einvaux,FR
422,Bayon,FR
423,Argentan,FR
424,Xermamenil—Lamath,FR
425,Arvant,FR
426,Gerbeviller,FR
427,Moyen,FR
428,Soulosse,FR
429,Magnières,FR
430,Ascq,FR
432,Coussey,FR
433,Domremy-la-Pucelle,FR
434,Auxerre-St-Gervais,FR
435,Aspres-sur-Buëch,FR
436,St-Clément-Laronxe,FR
437,Chenevières,FR
438,Ménil-Flin,FR
439,Azerailles,FR
440,Baccarat,FR
441,Bertrichamps,FR
442,Thiaville,FR
443,Houdemont,FR
444,Ludres,FR
445,Messein,FR
446,Neuves-Maisons,FR
447,Pont-St-Vincent,FR
448,Aixe-sur-Vienne,FR
449,Adamswiller,FR
450,Bainville,FR
452,Xeuilley,FR
453,Pierreville,FR
454,Pulligny—Autrey,FR
455,Ceintrey,FR
456,Tantonville,FR
457,Vézelise,FR
458,Praye-sous-Vaudémont,FR
459,Diarville,FR
460,Domgermain,FR
461,Charmes-la-Côte,FR
462,Blenod-les-Toul,FR
463,Bulligny—Crézilles,FR
464,Barisey-la-Côte,FR
465,Pompey,FR
466,Marbache,FR
467,Belleville,FR
468,Dieulouard,FR
469,Pont-à-Mousson,FR
470,Luzy-sur-Marne,FR
471,Chaudenay,FR
472,Hortes,FR
473,Charmoy—Fayl-Billot,FR
474,Auch,FR
475,Laferté-sur-Amance,FR
476,Vitrey—Vernois,FR
477,Barges,FR
479,Bologne,FR
480,Vignory,FR
481,Aurillac,FR
482,Froncles,FR
483,Gudmont,FR
484,Donjeux,FR
485,Avignon TGV,FR
486,Avail,FR
487,Damblain,FR
488,Châtillon-sur-Seine,FR
489,Avignon,FR
493,Aguilcourt—Variscourt,FR
494,Prauthoy,FR
495,Vaux-sous-Aubigny,FR
497,Selongey,FR
499,Maatz,FR
500,Champlitte,FR
501,Neuvelle-lès-Champlitte,FR
502,Oyrières,FR
503,Chargey-les-Gray,FR
504,Til-Châtel,FR
505,Velles,FR
506,Vraincourt-Viéville,FR
507,Le Pailly,FR
508,Rivières-le-Bois,FR
509,Grandchamp,FR
510,Leffond,FR
512,Le Martoulet,FR
513,Coublanc,FR
514,Écuelle,FR
515,Corgirnon,FR
